lat,lon,ta_avg,td_avg,hm_avg
36.003176,128.821655,13.7,7.2,70.0
36.007777,128.821854,13.7,7.2,71.0
36.012377,128.822054,13.6,7.2,72.0
36.016977,128.822254,13.6,7.2,72.0
36.021577,128.822453,13.6,7.2,71.0
36.026178,128.822653,13.6,7.2,71.0
36.030778,128.822853,13.6,7.2,71.0
36.035378,128.823053,13.5,7.1,72.0
36.039979,128.823252,13.3,7.1,72.0
36.044579,128.823452,13.1,7.0,72.0
36.04918,128.823652,12.9,6.9,73.0
36.053781,128.823852,12.7,6.8,73.0
36.058381,128.824052,12.4,6.6,72.0
36.062982,128.824252,12.1,6.3,72.0
36.067583,128.824452,12.2,6.2,71.0
36.072184,128.824652,12.6,6.2,68.0
36.076785,128.824852,12.7,6.2,68.0
36.081386,128.825052,12.6,6.2,68.0
36.085987,128.825252,12.7,6.2,68.0
36.090588,128.825452,12.3,5.8,67.0
36.095189,128.825653,12.0,5.5,67.0
36.09979,128.825853,12.1,5.6,67.0
35.966215,128.825717,14.0,6.8,66.0
35.970815,128.825917,13.9,6.8,66.0
35.975415,128.826116,13.9,6.9,67.0
35.980014,128.826316,13.8,7.1,69.0
35.984614,128.826516,13.8,7.2,70.0
35.989214,128.826716,13.8,7.1,69.0
35.993814,128.826916,13.8,7.1,69.0
35.998414,128.827116,13.7,7.2,69.0
36.003014,128.827316,13.7,7.3,71.0
36.007614,128.827516,13.6,7.2,72.0
36.012214,128.827716,13.6,7.2,72.0
36.016814,128.827916,13.6,7.3,71.0
36.021415,128.828116,13.6,7.2,70.0
36.026015,128.828316,13.6,7.2,71.0
36.030615,128.828517,13.6,7.2,72.0
36.035216,128.828717,13.5,7.2,72.0
36.039816,128.828917,13.4,7.1,72.0
36.044417,128.829117,13.2,7.0,72.0
36.049017,128.829317,13.0,7.0,73.0
36.053618,128.829518,12.9,6.9,73.0
36.058219,128.829718,12.6,6.7,73.0
36.06282,128.829918,12.2,6.4,72.0
36.06742,128.830119,12.0,6.2,72.0
36.072021,128.830319,12.0,6.2,71.0
36.076622,128.83052,12.0,6.2,72.0
36.081223,128.83072,12.0,6.2,71.0
36.085824,128.830921,12.4,6.2,69.0
36.090425,128.831121,12.7,6.1,68.0
36.095026,128.831322,12.7,6.1,67.0
36.099628,128.831522,12.6,6.0,67.0
36.104229,128.831723,12.3,5.8,68.0
35.966053,128.831375,13.9,6.9,67.0
35.970652,128.831575,13.8,7.1,69.0
35.975252,128.831775,13.8,7.2,69.0
35.979852,128.831975,13.6,7.3,71.0
35.984452,128.832176,13.3,7.2,72.0
